scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label,source_file
71,1779169519.999,1,0.4609,0.2208,0.2388,6.371,16,0,0.0443,1,0.0,ASK,interaction_green.csv
71,1779169519.999,2,0.3438,0.9583,0.2429,1039.244,0,0,0.7743,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
72,1779169520.553,0,0.6711,0.5542,0.1028,0.0,276,0,0.3933,1,0.0,WAIT,interaction_green.csv
72,1779169520.553,1,0.4617,0.2139,0.241,6.925,16,0,0.0407,1,0.0,ASK,interaction_green.csv
72,1779169520.553,2,0.3398,0.9611,0.2483,1039.798,0,0,0.7778,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
73,1779169521.133,0,0.6711,0.5542,0.1028,0.0,280,0,0.3933,1,0.0,WAIT,interaction_green.csv
73,1779169521.133,1,0.4641,0.2167,0.2389,7.504,16,0,0.0396,1,0.0,ASK,interaction_green.csv
73,1779169521.133,2,0.3406,0.9569,0.2466,1040.378,0,0,0.7735,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
74,1779169521.694,0,0.6711,0.5542,0.1037,0.0,284,0,0.3933,1,0.0,WAIT,interaction_green.csv
74,1779169521.694,1,0.4586,0.225,0.2374,8.066,16,0,0.0484,1,0.0,ASK,interaction_green.csv
74,1779169521.694,2,0.3406,0.9569,0.2456,1040.939,0,0,0.7735,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
75,1779169522.27,0,0.6711,0.5542,0.1037,0.0,288,0,0.3933,1,0.0,WAIT,interaction_green.csv
75,1779169522.27,1,0.4609,0.2111,0.2428,8.642,16,0,0.0406,1,0.0,ASK,interaction_green.csv
75,1779169522.27,2,0.3422,0.9569,0.2445,1041.515,0,0,0.7732,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
76,1779169522.829,0,0.6711,0.5542,0.1018,0.0,292,0,0.3933,1,0.0,WAIT,interaction_green.csv
76,1779169522.829,1,0.4539,0.225,0.2385,9.201,16,0,0.0524,1,0.0,ASK,interaction_green.csv
76,1779169522.829,2,0.3422,0.9583,0.2468,1042.074,0,0,0.7746,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
77,1779169523.406,0,0.6711,0.5542,0.1049,0.0,296,0,0.3933,1,0.0,WAIT,interaction_green.csv
77,1779169523.406,1,0.4672,0.2167,0.2377,9.778,16,0,0.0368,1,0.0,ASK,interaction_green.csv
77,1779169523.406,2,0.3422,0.9597,0.2442,1042.651,0,0,0.7759,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
78,1779169523.965,0,0.6711,0.5542,999.0,0.286,298,0,0.3933,1,0.0,ASK,interaction_green.csv
78,1779169523.965,1,0.4625,0.2139,999.0,10.337,16,0,0.04,1,0.0,ASK,interaction_green.csv
